2112,1503,1255,786,577,1241,4095
1851,1315,1060,319,1410,1506,4095
1814,1253,999,208,1529,1467,3664
1969,1242,937,141,1068,942,1602
1815,1312,1083,368,1437,1562,3865
1907,1241,960,204,1091,1058,1975
2211,1317,935,142,593,529,368
2350,1333,898,116,528,501,610
2343,1376,934,146,982,981,2341
1984,1229,893,138,1568,1518,4095
1823,1171,896,173,1744,1616,4095
1793,1116,857,140,1659,1471,3447
2064,1218,886,135,910,752,859
2289,1280,859,83,586,483,385
2358,1299,848,85,701,656,1204
2221,1281,880,145,1262,1211,3118
1908,1169,863,159,1663,1566,4095
1787,1151,884,188,1723,1600,4095
1872,1132,845,135,1341,1168,2263
2177,1245,863,116,758,599,485
2357,1296,850,112,641,565,800
2372,1360,899,149,993,941,2170
2023,1227,861,151,1599,1509,4095
1855,1152,867,186,1770,1616,4095
1808,1136,865,176,1728,1527,3630
2037,1185,855,144,981,805,1037
2272,1265,843,112,603,483,336
2362,1287,837,128,688,625,1080
2273,1291,870,159,1195,1136,2843
1888,1158,855,187,1634,1563,4095
1805,1131,861,192,1760,1609,4095
1823,1104,832,151,1453,1255,2527
2193,1235,848,138,724,563,405
2336,1267,831,115,624,545,704
2369,1337,900,176,923,873,1890
2065,1216,853,179,1584,1501,4095
1853,1136,848,183,1759,1607,4095
1806,1088,825,167,1619,1456,3398
2000,1159,834,156,1043,849,1227
2271,1246,833,129,624,490,311
2352,1269,820,118,658,593,983
2217,1265,867,194,1278,1231,3195
1902,1152,845,189,1665,1567,4095
1808,1115,854,208,1791,1623,4095
1809,1076,813,159,1530,1328,2805
2176,1237,850,144,784,605,496
2337,1270,831,131,624,528,655
2387,1338,880,177,873,814,1670
2122,1227,851,179,1535,1462,4095
1847,1145,857,210,1717,1603,4095
1798,1104,838,178,1669,1483,3495
1957,1136,819,160,1117,913,1409
2225,1221,822,127,634,485,265
2339,1266,829,144,693,629,1071
2223,1263,851,177,1215,1165,2925
1895,1138,834,194,1661,1557,4095
1781,1103,841,206,1795,1622,4095
1807,1088,819,173,1398,1231,2485
2114,1199,837,158,791,624,540
2288,1235,813,129,594,494,493
2346,1303,857,166,810,752,1473
2032,1200,848,195,1558,1489,4095
1820,1120,839,208,1746,1605,4095
1771,1101,843,194,1747,1555,3741
1898,1107,815,157,1221,1010,1730
2238,1238,837,154,652,496,309
2346,1262,816,137,682,606,985
2275,1279,855,177,1142,1074,2633
1936,1148,827,187,1638,1535,4095
1783,1114,853,227,1747,1614,4095
1783,1086,835,195,1504,1325,2696
2042,1219,882,182,893,720,678
2256,1275,877,157,636,530,453
2327,1360,930,213,903,849,1702
2035,1262,923,221,1590,1520,4095
1799,1167,912,229,1792,1647,4095
1738,1148,918,225,1831,1634,3959
1903,1173,906,203,1163,980,1505
2179,1264,897,157,685,553,336
2268,1281,883,154,688,624,901
2274,1323,922,193,1092,1040,2384
1859,1200,921,231,1649,1595,4095
1753,1157,928,249,1805,1659,4095
1743,1117,894,194,1603,1407,2961
2001,1214,911,183,969,784,869
2248,1295,909,176,669,560,546
2313,1355,944,196,880,823,1553
2070,1275,935,216,1520,1455,3984
1811,1170,918,223,1764,1634,4095
1746,1165,942,240,1757,1600,3795
