['1.30', '3.30', '3.30', '2.47', '1.10', '0.83', '0.65']
['0.00', '3.30', '0.00', '2.98', '1.64', '0.98', '0.71']
['0.00', '3.30', '0.00', '1.22', '1.19', '0.74', '0.61']
['3.30', '3.30', '1.75', '0.00', '0.29', '0.48', '0.53']
['1.10', '3.30', '3.30', '2.93', '1.21', '0.86', '0.66']
['0.00', '3.30', '0.00', '3.08', '1.67', '0.99', '0.71']
['0.00', '3.30', '0.00', '1.67', '1.34', '0.80', '0.63']
['3.30', '2.70', '1.68', '0.00', '0.29', '0.48', '0.53']
['1.27', '3.30', '3.30', '3.13', '1.25', '0.87', '0.67']
['0.00', '3.30', '0.00', '3.27', '1.70', '1.00', '0.71']
['0.00', '3.30', '0.00', '1.50', '1.28', '0.77', '0.62']
['3.30', '2.32', '1.92', '0.00', '0.29', '0.49', '0.53']
['1.03', '3.30', '3.30', '3.30', '1.29', '0.88', '0.66']
['0.00', '3.30', '0.00', '3.30', '1.72', '1.00', '0.71']
['0.00', '3.30', '0.00', '1.71', '1.35', '0.81', '0.63']
['3.30', '3.17', '1.87', '0.00', '0.29', '0.49', '0.53']
['1.43', '3.30', '3.30', '3.30', '1.31', '0.89', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.74', '1.01', '0.71']
['0.00', '3.30', '0.00', '1.96', '1.44', '0.85', '0.66']
['3.30', '2.79', '2.05', '0.00', '0.30', '0.49', '0.54']
['1.02', '3.30', '3.30', '3.30', '1.32', '0.90', '0.66']
['0.00', '3.30', '0.00', '3.30', '1.73', '1.01', '0.71']
['0.00', '3.30', '0.00', '0.61', '0.99', '0.64', '0.59']
['3.30', '2.71', '2.03', '0.00', '0.28', '0.47', '0.53']
['1.69', '3.30', '3.30', '2.91', '1.21', '0.86', '0.66']
['0.06', '3.30', '0.00', '3.23', '1.68', '0.99', '0.71']
['0.00', '3.30', '0.00', '1.29', '1.21', '0.75', '0.61']
['3.30', '2.13', '2.16', '0.00', '0.29', '0.48', '0.53']
['1.06', '3.30', '3.30', '3.30', '1.30', '0.89', '0.66']
['0.00', '3.30', '0.00', '3.30', '1.70', '1.00', '0.71']
['0.00', '3.30', '0.00', '1.25', '1.20', '0.73', '0.61']
['3.30', '2.72', '2.24', '0.00', '0.29', '0.48', '0.53']
['1.08', '3.30', '3.30', '3.30', '1.32', '0.89', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.73', '1.01', '0.71']
['0.00', '3.30', '0.00', '1.33', '1.22', '0.76', '0.61']
['3.30', '1.96', '2.24', '0.00', '0.28', '0.48', '0.53']
['0.86', '3.30', '3.30', '3.30', '1.33', '0.89', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.72', '1.01', '0.72']
['0.00', '3.30', '0.00', '1.35', '1.24', '0.75', '0.62']
