['.00', '0.01', '0.25', '0.20', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.20', '0.36', '0.23', '']
['0.00', '0.01', '0.25', '0.20', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.20', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.21', '0.36', '0.23', '']
['0.00', '0.01', '0.25', '0.20', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.20', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.21', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.20', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.21', '0.36', '0.22', '']
['0.00', '0.02', '0.25', '0.21', '0.35', '0.23', '']
['0.00', '0.02', '0.25', '0.21', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.20', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.20', '0.36', '0.23', '']
['0.00', '0.01', '0.25', '0.21', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.21', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.21', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.20', '0.35', '0.23', '']
['0.00', '0.02', '0.25', '0.20', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.21', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.21', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.21', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.21', '0.36', '0.23', '']
['0.00', '0.01', '0.25', '0.20', '0.36', '0.22', '']
['0.00', '0.02', '0.25', '0.20', '0.36', '0.23', '']
['0.00', '0.01', '0.25', '0.20', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.20', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.20', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.20', '0.36', '0.23', '']
['0.00', '0.01', '0.25', '0.20', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.20', '0.36', '0.22', '']
['0.00', '0.02', '0.25', '0.21', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.21', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.21', '0.35', '0.23', '']
['0.00', '0.02', '0.25', '0.21', '0.36', '0.23', '']
['0.00', '0.02', '0.25', '0.20', '0.36', '0.23', '']
