['', 'hd_drv:0x000.00', '0.04', '0.32', '0.34', '0.38', '0.68', '1.10']
['0.00', '0.01', '0.25', '0.20', '0.43', '0.52', '0.52']
['0.00', '0.01', '0.24', '0.19', '0.40', '0.48', '0.38']
['0.00', '0.01', '0.24', '0.19', '0.39', '0.47', '0.34']
['0.00', '0.01', '0.23', '0.19', '0.38', '0.47', '0.33']
['0.00', '0.01', '0.23', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.37', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.19', '0.38', '0.47', '0.31']
['0.00', '0.01', '0.24', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.19', '0.38', '0.47', '0.31']
['0.00', '0.01', '0.24', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.18', '0.38', '0.47', '0.31']
['0.00', '0.01', '0.24', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.38', '0.47', '0.31']
['0.00', '0.01', '0.24', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.19', '0.38', '0.47', '0.31']
['0.00', '0.01', '0.24', '0.19', '0.38', '0.47', '0.31']
['0.00', '0.01', '0.24', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.37', '0.47', '0.31']
['0.00', '0.01', '0.24', '0.18', '0.38', '0.47', '0.31']
['0.00', '0.01', '0.24', '0.18', '0.37', '0.47', '0.31']
['0.00', '0.01', '0.24', '0.18', '0.38', '0.47', '0.31']
['0.00', '0.02', '0.24', '0.18', '0.37', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.37', '0.47', '0.31']
['0.00', '0.01', '0.23', '0.18', '0.37', '0.47', '0.31']
['0.00', '0.01', '0.23', '0.18', '0.38', '0.47', '0.31']
['0.00', '0.02', '0.23', '0.18', '0.37', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.02', '0.24', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.02', '0.23', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.24', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.02', '0.24', '0.18', '0.37', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.19', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.38', '0.47', '0.32']
['0.00', '0.01', '0.23', '0.18', '0.38', '0.47', '0.32']
