['0.00', '0.01', '0.34', '0.36', '0.38', '0.77', '1.61']
['0.00', '0.00', '0.26', '0.21', '0.53', '0.60', '0.93']
['0.00', '0.00', '0.26', '0.21', '0.53', '0.57', '0.81']
['0.00', '0.00', '0.26', '0.21', '0.52', '0.57', '0.79']
['0.00', '0.00', '0.26', '0.21', '0.52', '0.56', '0.78']
['0.00', '0.00', '0.26', '0.21', '0.52', '0.57', '0.78']
['0.00', '0.00', '0.26', '0.21', '0.52', '0.56', '0.77']
['0.00', '0.00', '0.26', '0.21', '0.52', '0.56', '0.77']
['0.00', '0.00', '0.26', '0.21', '0.52', '0.56', '0.77']
['0.00', '0.00', '0.26', '0.21', '0.52', '0.56', '0.77']
['0.00', '0.00', '0.26', '0.21', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.21', '0.52', '0.56', '0.77']
['0.00', '0.00', '0.26', '0.21', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.21', '0.52', '0.56', '0.77']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.21', '0.52', '0.56', '0.77']
['0.00', '0.00', '0.26', '0.21', '0.52', '0.56', '0.77']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.21', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.25', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.25', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.25', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.25', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.25', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.25', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.25', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.25', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.25', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.25', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.56', '0.76']
