['0.08', '0.19', '0.34', '0.38', '0.38', '0.74', '1.45']
['0.04', '0.14', '0.25', '0.22', '0.48', '0.57', '0.77']
['0.04', '0.12', '0.24', '0.22', '0.46', '0.52', '0.61']
['0.04', '0.12', '0.24', '0.22', '0.45', '0.51', '0.56']
['0.04', '0.12', '0.23', '0.22', '0.44', '0.51', '0.55']
['0.03', '0.12', '0.23', '0.22', '0.44', '0.50', '0.54']
['0.03', '0.12', '0.23', '0.22', '0.44', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.22', '0.44', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.43', '0.50', '0.52']
['0.03', '0.11', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.43', '0.50', '0.52']
['0.03', '0.11', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.43', '0.50', '0.52']
['0.03', '0.11', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.43', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.43', '0.50', '0.52']
['0.03', '0.11', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.12', '0.23', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.12', '0.24', '0.21', '0.44', '0.50', '0.53']
['0.03', '0.11', '0.23', '0.21', '0.43', '0.50', '0.52']
['0.03', '0.11', '0.23', '0.21', '0.43', '0.50', '0.52']
['0.03', '0.11', '0.23', '0.21', '0.43', '0.50', '0.52']
['0.03', '0.11', '0.23', '0.21', '0.43', '0.50', '0.52']
['0.04', '0.12', '0.24', '0.21', '0.43', '0.50', '0.53']
