['', 'hd_drv:0x000.00', '0.07', '0.31', '0.35', '0.37', '0.74', '1.48']
['0.00', '0.04', '0.23', '0.20', '0.48', '0.56', '0.76']
['0.00', '0.04', '0.23', '0.20', '0.46', '0.52', '0.58']
['0.00', '0.04', '0.22', '0.20', '0.45', '0.50', '0.53']
['0.00', '0.04', '0.22', '0.20', '0.44', '0.50', '0.51']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.50', '0.50']
['0.00', '0.04', '0.22', '0.20', '0.43', '0.50', '0.50']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.50', '0.49']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.49']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.49']
['0.00', '0.04', '0.22', '0.20', '0.43', '0.49', '0.49']
['0.00', '0.04', '0.23', '0.20', '0.43', '0.50', '0.49']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.49']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.20', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.49']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.50', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.50', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.50', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.50', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.50', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.50', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.50', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.47']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.50', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.47']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.42', '0.49', '0.47']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.50', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.47']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.42', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.23', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
['0.00', '0.04', '0.22', '0.19', '0.43', '0.49', '0.48']
