['0.00', '3.30', '0.00', '3.30', '1.82', '1.15', '1.81']
['0.00', '3.30', '0.00', '3.30', '1.95', '1.10', '1.11']
['0.00', '3.30', '0.00', '3.30', '1.91', '1.09', '0.92']
['0.00', '3.30', '0.00', '3.30', '1.87', '1.08', '0.86']
['0.00', '3.30', '0.00', '3.30', '1.88', '1.10', '0.87']
['0.00', '3.30', '0.00', '3.30', '1.88', '1.14', '0.87']
['0.00', '3.30', '0.00', '3.30', '1.87', '1.11', '0.85']
['0.00', '3.30', '0.00', '3.30', '1.85', '1.09', '0.84']
['0.00', '3.30', '0.00', '3.30', '1.87', '1.11', '0.86']
['0.00', '3.30', '0.00', '3.30', '1.88', '1.13', '0.87']
['0.00', '3.30', '0.00', '3.30', '1.86', '1.12', '0.85']
['0.00', '3.30', '0.00', '3.30', '1.84', '1.09', '0.84']
['0.00', '3.30', '0.00', '3.30', '1.86', '1.12', '0.86']
['0.00', '3.30', '0.00', '3.30', '1.87', '1.13', '0.86']
['0.00', '3.30', '0.00', '3.30', '1.85', '1.11', '0.84']
['0.00', '3.30', '0.00', '3.30', '1.84', '1.10', '0.82']
['0.00', '3.30', '0.00', '3.30', '1.86', '1.12', '0.86']
['0.00', '3.30', '0.00', '3.30', '1.87', '1.13', '0.87']
['0.00', '3.30', '0.00', '3.30', '1.85', '1.12', '0.84']
['0.00', '3.30', '0.00', '3.30', '1.84', '1.10', '0.82']
['0.00', '3.30', '0.00', '3.30', '1.86', '1.12', '0.85']
['0.00', '3.30', '0.00', '3.30', '1.87', '1.14', '0.86']
['0.00', '3.30', '0.00', '3.30', '1.85', '1.11', '0.84']
['0.00', '3.30', '0.00', '3.30', '1.84', '1.09', '0.83']
['0.00', '3.30', '0.00', '3.30', '1.86', '1.11', '0.85']
['0.00', '3.30', '0.00', '3.30', '1.87', '1.13', '0.87']
['0.00', '3.30', '0.00', '3.30', '1.85', '1.11', '0.84']
['0.00', '3.30', '0.00', '3.30', '1.84', '1.10', '0.83']
['0.00', '3.30', '0.00', '3.30', '1.85', '1.11', '0.85']
['0.00', '3.30', '0.00', '3.30', '1.86', '1.14', '0.86']
['0.00', '3.30', '0.00', '3.30', '1.85', '1.11', '0.84']
['0.00', '3.30', '0.00', '3.30', '1.84', '1.10', '0.82']
['0.00', '3.30', '0.00', '3.30', '1.86', '1.11', '0.85']
['0.00', '3.30', '0.00', '3.30', '1.87', '1.13', '0.86']
['0.00', '3.30', '0.00', '3.30', '1.85', '1.11', '0.84']
['0.00', '3.30', '0.00', '3.30', '1.84', '1.10', '0.82']
['0.00', '3.30', '0.00', '3.30', '1.85', '1.11', '0.85']
['0.00', '3.30', '0.00', '3.30', '1.87', '1.12', '0.87']
['0.00', '3.30', '0.00', '3.30', '1.84', '1.11', '0.84']
['0.00', '3.30', '0.00', '3.30', '1.84', '1.09', '0.83']
['0.00', '3.30', '0.00', '3.30', '1.85', '1.12', '0.84']
['0.00', '3.30', '0.00', '3.30', '1.86', '1.14', '0.86']
['0.00', '3.30', '0.00', '3.30', '1.85', '1.10', '0.84']
['0.00', '3.30', '0.00', '3.30', '1.84', '1.10', '0.82']
['0.00', '3.30', '0.00', '3.30', '1.85', '1.11', '0.85']
['0.00', '3.30', '0.00', '3.30', '1.86', '1.13', '0.86']
['0.00', '3.30', '0.00', '3.30', '1.84', '1.11', '0.84']
['0.00', '3.30', '0.00', '3.30', '1.83', '1.09', '0.82']
['0.00', '3.30', '0.00', '3.30', '1.85', '1.11', '0.84']
['0.00', '3.30', '0.00', '3.30', '1.85', '1.12', '0.85']
['0.00', '3.30', '0.00', '3.30', '1.84', '1.11', '0.83']
['0.00', '3.30', '0.00', '3.30', '1.83', '1.09', '0.81']
['0.00', '3.30', '0.00', '3.30', '1.85', '1.11', '0.84']
['0.00', '3.30', '0.00', '3.30', '1.87', '1.13', '0.85']
['0.00', '3.30', '0.00', '3.30', '1.84', '1.10', '0.83']
['0.00', '3.30', '0.00', '3.30', '1.84', '1.09', '0.82']
['0.00', '3.30', '0.00', '3.30', '1.85', '1.11', '0.84']
['0.00', '3.30', '0.00', '3.30', '1.86', '1.12', '0.86']
['0.00', '3.30', '0.00', '3.30', '1.84', '1.11', '0.84']
['0.00', '3.30', '0.00', '3.30', '1.83', '1.09', '0.83']
['0.00', '3.30', '0.00', '3.30', '1.85', '1.11', '0.84']
['0.00', '3.30', '0.00', '3.30', '1.86', '1.13', '0.86']
